"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","html-keyboard-response","304","910082","0.0-445.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","305","910911","0.0-446.0","2j3ecyxr","1707","1067","","","","","","","","","","","828","svs","Diagnostic trial","","","","","j","8","10","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","306","911668","0.0-449.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","307","912484","0.0-450.0","2j3ecyxr","1707","1067","","","","","","","","","","","815","svs","Inducer trial","","","","","f","8","","true","","","f","1","LEFT","","","",""
"","html-keyboard-response","308","913996","0.0-453.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","309","922046","0.0-454.0","2j3ecyxr","1707","1067","","","","","","","","","","","8050","If lpo press LEFT | If nh3 press RIGHT","Inducer instructions","","","",""," ","9","","","","","","","","","","",""
"","html-keyboard-response","310","922799","0.0-455.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","311","923915","0.0-456.0","2j3ecyxr","1707","1067","","","","","","","","","","","1114","lpo","Diagnostic trial","","","","","f","9","0","false","false","RIGHT","j","0","LEFT","false","","",""
"","call-function","312","923916","0.0-458.0-0.0","2j3ecyxr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","313","924222","0.0-458.0-1.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","",""
"","call-function","314","924222","0.0-458.0-2.0","2j3ecyxr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","315","924978","0.0-459.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","316","926217","0.0-460.0","2j3ecyxr","1707","1067","","","","","","","","","","","1237","lpo","Diagnostic trial","","","","","j","9","1","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","317","926977","0.0-463.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","318","928756","0.0-464.0","2j3ecyxr","1707","1067","","","","","","","","","","","1778","lpo","Diagnostic trial","","","","","j","9","2","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","319","929516","0.0-467.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","320","930154","0.0-468.0","2j3ecyxr","1707","1067","","","","","","","","","","","637","lpo","Diagnostic trial","","","","","f","9","3","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","321","930914","0.0-471.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","",""
"","html-keyboard-response","322","931959","0.0-472.0","2j3ecyxr","1707","1067","","","","","","","","","","","1045","nh3","Inducer trial","","","","","j","9","","true","","","j","1","RIGHT","","","",""
"","html-keyboard-response","323","933462","0.0-475.0","2j3ecyxr","1707","1067","","","","","","","","","","","null","+","Fixation - long","","","","","null","","","","","","","","","","","",""
"","call-function","324","933463","0.0-476.0","2j3ecyxr","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey","325","981042","0.0-477.0","2j3ecyxr","1707","1067","","","","","","","","","","","47552","distraction-feedback","Distraction and feedback","","","","","{""open_feedback"":""Its fun and challenging when I got the instructions :) Sending you feedback by signal or call.""}","","","","","","","","","","[]","Its fun and challenging when I got the instructions :) Sending you feedback by signal or call.","[{""event"":""blur"",""trial"":2,""time"":4073},{""event"":""focus"",""trial"":2,""time"":37494},{""event"":""fullscreenenter"",""trial"":3,""time"":89578}]"
