"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","html-keyboard-response","323","448241","0.0-505.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","324","448684","0.0-506.0","2u5ya5yy","2560","1440","","","","","","","","","","","442","ibb","Diagnostic trial","","j","9","7","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","325","449446","0.0-509.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","326","449836","0.0-510.0","2u5ya5yy","2560","1440","","","","","","","","","","","390","ibb","Diagnostic trial","","j","9","8","false","true","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","327","450595","0.0-513.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","328","451115","0.0-514.0","2u5ya5yy","2560","1440","","","","","","","","","","","519","ibb","Inducer trial","","f","9","","true","","","","0","","","","",""
"","call-function","329","451115","0.0-516.0-0.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","330","451423","0.0-516.0-1.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","331","451423","0.0-516.0-2.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","332","452936","0.0-517.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","333","453756","0.0-518.0","2u5ya5yy","2560","1440","","","","","","","","","","","820","If gwn press LEFT | If doy press RIGHT","Inducer instructions",""," ","10","","","","","","","","","","",""
"","html-keyboard-response","334","454514","0.0-519.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","335","455236","0.0-520.0","2u5ya5yy","2560","1440","","","","","","","","","","","721","doy","Diagnostic trial","","f","10","0","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","336","455996","0.0-523.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","337","456428","0.0-524.0","2u5ya5yy","2560","1440","","","","","","","","","","","431","doy","Diagnostic trial","","f","10","1","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","338","457182","0.0-527.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","339","457524","0.0-528.0","2u5ya5yy","2560","1440","","","","","","","","","","","341","doy","Diagnostic trial","","f","10","2","false","false","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","340","458284","0.0-531.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","341","458719","0.0-532.0","2u5ya5yy","2560","1440","","","","","","","","","","","447","gwn","Diagnostic trial","","j","10","3","false","true","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","342","459471","0.0-535.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","343","460095","0.0-536.0","2u5ya5yy","2560","1440","","","","","","","","","","","623","gwn","Diagnostic trial","","f","10","4","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","344","460855","0.0-539.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","345","461430","0.0-540.0","2u5ya5yy","2560","1440","","","","","","","","","","","575","gwn","Diagnostic trial","","f","10","5","false","false","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","346","462191","0.0-543.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","347","462559","0.0-544.0","2u5ya5yy","2560","1440","","","","","","","","","","","367","gwn","Diagnostic trial","","f","10","6","false","true","RIGHT","j","0","LEFT","false","","",""
"","call-function","348","462559","0.0-546.0-0.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","349","462870","0.0-546.0-1.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","350","462870","0.0-546.0-2.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","351","463624","0.0-547.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","352","464391","0.0-548.0","2u5ya5yy","2560","1440","","","","","","","","","","","766","gwn","Diagnostic trial","","j","10","7","false","true","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","353","465142","0.0-551.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","354","465678","0.0-552.0","2u5ya5yy","2560","1440","","","","","","","","","","","536","gwn","Inducer trial","","f","10","","true","","","","1","","","","",""
"","html-keyboard-response","355","467185","0.0-555.0","2u5ya5yy","2560","1440","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","call-function","356","467185","0.0-556.0","2u5ya5yy","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey","357","470700","0.0-557.0","2u5ya5yy","2560","1440","","","","","","","","","","","3482","feedback","Feedback","","{""open_feedback"":""""}","","","","","","","","","","[]","","[{""event"":""fullscreenenter"",""trial"":3,""time"":109329}]"
