"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","html-keyboard-response","192","353437","0.0-297.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","193","354031","0.0-298.0","o6g1w3c4","1280","720","","","","","","","","","","","593","quy","Diagnostic trial","","f","3","9","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","194","354795","0.0-301.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","195","355712","0.0-302.0","o6g1w3c4","1280","720","","","","","","","","","","","916","quy","Diagnostic trial","","j","3","10","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","196","356466","0.0-305.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","197","357062","0.0-306.0","o6g1w3c4","1280","720","","","","","","","","","","","595","pxv","Diagnostic trial","","f","3","11","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","198","357841","0.0-309.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","199","358412","0.0-310.0","o6g1w3c4","1280","720","","","","","","","","","","","570","pxv","Inducer trial","","f","3","","true","","","","0","","","","",""
"","call-function","200","358413","0.0-312.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","201","358722","0.0-312.0-1.0","o6g1w3c4","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","202","358722","0.0-312.0-2.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","203","360225","0.0-313.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","204","370546","0.0-314.0","o6g1w3c4","1280","720","","","","","","","","","","","10320","If mvv press LEFT | If bsh press RIGHT","Inducer instructions",""," ","4","","","","","","","","","","",""
"","html-keyboard-response","205","371310","0.0-315.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","206","371846","0.0-316.0","o6g1w3c4","1280","720","","","","","","","","","","","536","mvv","Diagnostic trial","","j","4","0","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","207","372599","0.0-319.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","208","372976","0.0-320.0","o6g1w3c4","1280","720","","","","","","","","","","","376","mvv","Diagnostic trial","","j","4","1","false","true","LEFT","f","0","LEFT","true","","",""
"","call-function","209","372977","0.0-322.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","210","373287","0.0-322.0-1.0","o6g1w3c4","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","211","373288","0.0-322.0-2.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","212","374070","0.0-323.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","213","374611","0.0-324.0","o6g1w3c4","1280","720","","","","","","","","","","","541","bsh","Diagnostic trial","","f","4","2","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","214","375364","0.0-327.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","215","375974","0.0-328.0","o6g1w3c4","1280","720","","","","","","","","","","","610","mvv","Diagnostic trial","","f","4","3","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","216","376741","0.0-331.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","217","377536","0.0-332.0","o6g1w3c4","1280","720","","","","","","","","","","","794","mvv","Diagnostic trial","","j","4","4","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","218","378301","0.0-335.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","219","378846","0.0-336.0","o6g1w3c4","1280","720","","","","","","","","","","","544","bsh","Diagnostic trial","","j","4","5","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","220","379613","0.0-339.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","221","380241","0.0-340.0","o6g1w3c4","1280","720","","","","","","","","","","","628","bsh","Diagnostic trial","","f","4","6","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","222","381023","0.0-343.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","223","381580","0.0-344.0","o6g1w3c4","1280","720","","","","","","","","","","","557","mvv","Diagnostic trial","","j","4","7","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","224","382345","0.0-347.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","225","382819","0.0-348.0","o6g1w3c4","1280","720","","","","","","","","","","","473","bsh","Diagnostic trial","","f","4","8","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","226","383584","0.0-351.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","227","384260","0.0-352.0","o6g1w3c4","1280","720","","","","","","","","","","","675","mvv","Diagnostic trial","","f","4","9","false","true","LEFT","f","1","LEFT","true","","",""
"","html-keyboard-response","228","385022","0.0-355.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","229","385518","0.0-356.0","o6g1w3c4","1280","720","","","","","","","","","","","495","bsh","Diagnostic trial","","f","4","10","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","230","386271","0.0-359.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","231","386732","0.0-360.0","o6g1w3c4","1280","720","","","","","","","","","","","461","bsh","Diagnostic trial","","j","4","11","false","false","RIGHT","j","1","RIGHT","true","","",""
"","html-keyboard-response","232","387498","0.0-363.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","233","388115","0.0-364.0","o6g1w3c4","1280","720","","","","","","","","","","","616","mvv","Diagnostic trial","","j","4","12","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","234","388870","0.0-367.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","235","389566","0.0-368.0","o6g1w3c4","1280","720","","","","","","","","","","","694","bsh","Diagnostic trial","","f","4","13","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","236","390318","0.0-371.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","237","391037","0.0-372.0","o6g1w3c4","1280","720","","","","","","","","","","","718","mvv","Inducer trial","","j","4","","true","","","","0","","","","",""
"","call-function","238","391037","0.0-374.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","239","391346","0.0-374.0-1.0","o6g1w3c4","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","240","391347","0.0-374.0-2.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","241","392869","0.0-375.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - long","","null","","","","","","","","","","","",""
"","html-keyboard-response","242","399206","0.0-376.0","o6g1w3c4","1280","720","","","","","","","","","","","6336","If dlg press LEFT | If dpa press RIGHT","Inducer instructions",""," ","5","","","","","","","","","","",""
"","html-keyboard-response","243","399960","0.0-377.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","244","400557","0.0-378.0","o6g1w3c4","1280","720","","","","","","","","","","","596","dpa","Diagnostic trial","","f","5","0","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","245","401319","0.0-381.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","246","401753","0.0-382.0","o6g1w3c4","1280","720","","","","","","","","","","","434","dpa","Diagnostic trial","","f","5","1","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","247","402518","0.0-385.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","248","402869","0.0-386.0","o6g1w3c4","1280","720","","","","","","","","","","","351","dpa","Diagnostic trial","","f","5","2","false","false","RIGHT","j","0","RIGHT","true","","",""
"","call-function","249","402870","0.0-388.0-0.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","250","403181","0.0-388.0-1.0","o6g1w3c4","1280","720","","","","","","","","","","","null","Wrong","Feedback","","null","","","","","","","","","","","",""
"","call-function","251","403181","0.0-388.0-2.0","o6g1w3c4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","252","403934","0.0-389.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","253","404581","0.0-390.0","o6g1w3c4","1280","720","","","","","","","","","","","646","dpa","Diagnostic trial","","f","5","3","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","254","405336","0.0-393.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","255","405740","0.0-394.0","o6g1w3c4","1280","720","","","","","","","","","","","404","dpa","Diagnostic trial","","f","5","4","false","true","LEFT","f","1","RIGHT","false","","",""
"","html-keyboard-response","256","406496","0.0-397.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","257","407068","0.0-398.0","o6g1w3c4","1280","720","","","","","","","","","","","571","dlg","Diagnostic trial","","j","5","5","false","false","RIGHT","j","1","LEFT","false","","",""
"","html-keyboard-response","258","407836","0.0-401.0","o6g1w3c4","1280","720","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","",""
"","html-keyboard-response","259","408257","0.0-402.0","o6g1w3c4","1280","720","","","","","","","","","","","420","dlg","Diagnostic trial","","j","5","6","false","false","RIGHT","j","1","LEFT","false","","",""
