"","x"
"596","sif"
"597","slp"
"598","so2"
"599","spg"
"600","sps"
"601","stn"
"602","swa"
"603","swr"
"604","tbg"
"605","thf"
"606","ths"
"607","tif"
"608","tpa"
"609","tr3"
"610","trf"
"611","trt"
"612","tto"
"613","tul"
"614","twr"
"615","twz"
"616","uds"
"617","uet"
"618","ufc"
"619","ugs"
"620","ulp"
"621","urs"
"622","urt"
"623","ury"
"624","usc"
"625","uxb"
"626","vga"
"627","vid"
"628","vod"
"629","vtr"
"630","wau"
"631","wls"
"632","wof"
"633","wrc"
"634","wrr"
"635","wsb"
"636","wtc"
"637","wth"
"638","wub"
"639","wyk"
"640","x12"
"641","yae"
"642","yik"
"643","yub"
"644","zmm"
"645","zon"
"646","a&s"
"647","a2b"
"648","a3m"
"649","a50"
"650","a60"
"651","a83"
"652","aam"
"653","aap"
"654","acr"
"655","aes"
"656","agi"
"657","aho"
"658","aji"
"659","aky"
"660","amt"
"661","amu"
"662","arn"
"663","asl"
"664","aum"
"665","avg"
"666","b29"
"667","blb"
"668","blg"
"669","bnl"
"670","bpr"
"671","brc"
"672","bry"
"673","bsh"
"674","bul"
"675","cdg"
"676","cem"
"677","cil"
"678","cmj"
"679","coa"
"680","cof"
"681","coh"
"682","cpk"
"683","cpz"
"684","crm"
"685","csm"
"686","ctd"
"687","d&c"
"688","db7"
"689","dfe"
"690","dft"
"691","dhe"
"692","dma"
"693","dnc"
"694","dnd"
"695","doy"
"696","dpc"
"697","dpf"
"698","dpg"
"699","dpl"
"700","dsh"
"701","duk"
"702","dv8"
"703","ebu"
"704","ecs"
"705","ecu"
"706","edy"
"707","eef"
"708","efg"
"709","ene"
"710","epo"
"711","erd"
"712","esw"
"713","eun"
"714","exp"
"715","eyl"
"716","eys"
"717","f50"
"718","fcc"
"719","ffs"
"720","fip"
"721","fld"
"722","fle"
"723","foz"
"724","frh"
"725","frt"
"726","fsu"
"727","ftc"
"728","fxx"
"729","g21"
"730","gbl"
"731","gbm"
"732","gbo"
"733","gef"
"734","gha"
"735","ghh"
"736","gkn"
"737","gld"
"738","gle"
"739","gng"
"740","gnr"
"741","gsn"
"742","gyr"
"743","h14"
"744","hc1"
"745","hcn"
"746","hez"
"747","hli"
"748","hmg"
"749","hrs"
"750","hs1"
"751","ibd"
"752","ico"
"753","icp"
"754","img"
"755","ipe"
"756","ipt"
"757","jcr"
"758","jop"
"759","jwt"
"760","kef"
"761","kfp"
"762","kgr"
"763","kna"
"764","koc"
"765","kov"
"766","krk"
"767","kua"
"768","laz"
"769","lbd"
"770","lcp"
"771","leh"
"772","lfa"
"773","lfs"
"774","lik"
"775","llo"
"776","m45"
"777","m69"
"778","mcd"
"779","mfv"
"780","mhm"
"781","mho"
"782","mik"
"783","mk2"
"784","mmt"
"785","mna"
"786","mnd"
"787","mns"
"788","moj"
"789","msa"
"790","msm"
"791","mst"
"792","mvv"
"793","nfa"
"794","nga"
"795","ngn"
"796","nh3"
"797","niu"
"798","nlp"
"799","nly"
"800","nop"
"801","nqt"
"802","nse"
"803","nua"
"804","nzb"
"805","oac"
"806","oer"
"807","ogh"
"808","ogo"
"809","ojs"
"810","omo"
"811","onn"
"812","opd"
"813","oth"
"814","p2s"
"815","pbj"
"816","pbz"
"817","pcm"
"818","pdp"
"819","pdq"
"820","peb"
"821","pht"
"822","pkd"
"823","pof"
"824","pok"
"825","prm"
"826","prt"
"827","psx"
"828","pto"
"829","pvv"
"830","qul"
"831","qup"
"832","rbr"
"833","rek"
"834","rff"
"835","rnb"
"836","rpf"
"837","rs5"
"838","rve"
"839","sfl"
"840","sft"
"841","sfx"
"842","siz"
"843","slk"
"844","slu"
"845","sng"
"846","sok"
"847","spd"
"848","spu"
"849","sra"
"850","srt"
"851","stc"
"852","sth"
"853","stl"
"854","sx4"
"855","sym"
"856","t44"
"857","tbc"
"858","tc1"
"859","tcb"
"860","tci"
"861","tew"
"862","tft"
"863","thp"
"864","tio"
"865","tix"
"866","tko"
"867","tnc"
"868","tr4"
"869","trb"
"870","trg"
"871","trk"
"872","tsc"
"873","tsd"
"874","tte"
"875","tvp"
"876","ub5"
"877","ubu"
"878","uca"
"879","ucp"
