"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","page_index1","page_index2","page_index3","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct","correct_response","correct_inducer_response_side","congruent","inducer_correct_response","slider_start","accuracy","gender","age","motivation_feedback","distraction","distraction_feedback","open_feedback"
"","html-keyboard-response","200","582526","0.0-293.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","201","583942","0.0-294.0","6vxj24fa","1707","1067","","","","","","","","","","","1415","bsl","Diagnostic trial","","","","","f","5","3","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","202","584693","0.0-297.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","203","586111","0.0-298.0","6vxj24fa","1707","1067","","","","","","","","","","","1418","wue","Diagnostic trial","","","","","j","5","4","false","true","LEFT","f","","false","RIGHT","false","","","","","","","","",""
"","call-function","204","586112","0.0-300.0-0.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","205","586414","0.0-300.0-1.0","6vxj24fa","1707","1067","","","","","","","","","","","null","Wrong","Feedback","","","","","null","","","","","","","","","","","","","","","","","","",""
"","call-function","206","586414","0.0-300.0-2.0","6vxj24fa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","207","587165","0.0-301.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","208","588662","0.0-302.0","6vxj24fa","1707","1067","","","","","","","","","","","1496","bsl","Diagnostic trial","","","","","j","5","5","false","false","RIGHT","j","","true","LEFT","false","","","","","","","","",""
"","html-keyboard-response","209","589413","0.0-305.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","210","591180","0.0-306.0","6vxj24fa","1707","1067","","","","","","","","","","","1765","wue","Diagnostic trial","","","","","j","5","6","false","false","RIGHT","j","","true","RIGHT","true","","","","","","","","",""
"","html-keyboard-response","211","591932","0.0-309.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","212","592656","0.0-310.0","6vxj24fa","1707","1067","","","","","","","","","","","723","bsl","Diagnostic trial","","","","","f","5","7","false","true","LEFT","f","","true","LEFT","true","","","","","","","","",""
"","html-keyboard-response","213","593408","0.0-313.0","6vxj24fa","1707","1067","","","","","","","","","","","null","+","Fixation - short","","","","","null","","","","","","","","","","","","","","","","","","",""
